LogName,Date,Time,ComputerName,SourceName,TaskCategory,EventType,Keywords,OpCode,EventCode,Type,RecordNumber,Message,isMalicious
Application,2023-09-22,00:10:15,CLIENT-PC,Microsoft-Windows-Security-SPP,,4,Classic,,16384,4,3267,Successfully scheduled Software Protection service for re-start at 2023-09-22T21:08:15Z. Reason: RulesEngine.,No
System,2023-09-22,00:10:01,CLIENT-PC,Microsoft-Windows-Kernel-General,,4,,Info,16,4,2279,The access history in hive \??\C:\Users\Communication_LTD\AppData\Local\Packages\Microsoft.ZuneMusic_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages.,No
Application,2023-09-22,00:09:45,CLIENT-PC,SecurityCenter,,4,Classic,Info,15,4,3266,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.,No
System,2023-09-22,00:09:23,CLIENT-PC,Microsoft-Windows-Kernel-General,,4,,Info,16,4,2278,The access history in hive \??\C:\Users\Communication_LTD\AppData\Local\Packages\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.,No
Application,2023-09-22,00:09:20,CLIENT-PC,Microsoft-Windows-Security-SPP,,2,Classic,,8198,2,3265,"License Activation (slui.exe) failed with the following error code:",No
Application,2023-09-22,00:09:20,CLIENT-PC,Microsoft-Windows-Security-SPP,,4,Classic,,1003,4,3264,"The Software Protection service has completed licensing status check.",No
Application,2023-09-22,00:09:20,CLIENT-PC,Microsoft-Windows-Security-SPP,,4,Classic,,1003,4,3263,"The Software Protection service has completed licensing status check.",No
Application,2023-09-22,00:09:19,CLIENT-PC,Microsoft-Windows-Security-SPP,,2,Classic,,1014,2,3262,"Acquisition of End User License failed. hr=0xC004C008",No
Application,2023-09-22,00:09:19,CLIENT-PC,Microsoft-Windows-Security-SPP,,2,Classic,,8200,2,3261,"License acquisition failure details. ",No
Application,2023-09-22,00:09:13,CLIENT-PC,Microsoft-Windows-Security-SPP,,4,Classic,,16394,4,3260,Offline downlevel migration succeeded.,No
Application,2023-09-22,00:09:07,CLIENT-PC,Microsoft-Windows-Winlogon,,4,Classic,,6000,4,3259,The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.,No
System,2023-09-22,00:09:06,CLIENT-PC,Microsoft-Windows-Winlogon,1101,4,,Info,7001,4,2277,User Logon Notification for Customer Experience Improvement Program,No
Application,2023-09-22,00:09:06,CLIENT-PC,Microsoft-Windows-Winlogon,,4,Classic,,6003,4,3258,The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.,No
System,2023-09-22,00:08:13,CLIENT-PC,Microsoft-Windows-Kernel-General,,4,,Info,16,4,2276,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Photos_2023.11090.12017.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.,No
System,2023-09-22,00:08:08,CLIENT-PC,Microsoft-Windows-Kernel-General,,4,,Info,16,4,2275,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\microsoft.windowscommunicationsapps_16005.14326.21580.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.,No
